user_id,username,leftID,leftPV,righID,rightPV,award_pv,award_pv_left,award_pv_right
4875,Arise4jesus,4876,0,4897,0,0,0,0
4876,MAMAGOLD,4895,0,4941,0,0,0,0
4885,Superstar,4886,0,4930,0,0,0,0
4888,sosthy,5119,175,5164,150,150,75,75
4895,KENWAY,4896,0,4963,0,0,0,0
4899,Lecturer30,4907,0,5767,0,0,0,0
4900,HANSON7,4955,0,4956,0,0,0,0
4904,Ulofine,5062,0,5460,0,0,0,0
4910,GreatNene,4911,0,4912,0,0,0,0
4913,Ekpo19,4928,0,5390,0,0,0,0
4918,Japan,4948,0,4958,0,0,0,0
4920,Cahosa123,4933,0,5139,0,0,0,0
4922,Amibaby,5095,0,5201,0,0,0,0
4927,Olowogpro,5012,0,5020,0,0,0,0
4930,Jahfofunmi,4931,0,4932,0,0,0,0
4934,Annix86,4935,0,4936,0,0,0,0
4941,Zeelady,4942,0,5009,0,0,0,0
4942,Robysco,5026,0,5181,0,0,0,0
4945,Moyostic,4946,0,4954,0,0,0,0
4970,Godhelpme,5141,0,5553,0,0,0,0
4972,Buchi01,4973,0,5063,0,0,0,0
4975,ConsultSuccess,4976,1931,5096,799,799,399.5,399.5
4976,Tmuna4G,5068,0,5106,0,0,0,0
4989,Dollarangel,4994,0,4995,0,0,0,0
4992,Sheyung,4999,0,5076,0,0,0,0
5020,Goriola01,5029,0,5070,0,0,0,0
5031,Chommy1,5150,0,5151,0,0,0,0
5076,Easylife1,5079,0,5083,0,0,0,0
5078,Ojusco,5080,0,5081,0,0,0,0
5079,Easylife2,5089,0,5090,0,0,0,0
5083,Mycash,5085,0,5086,0,0,0,0
5091,Easylife3,5092,0,5179,0,0,0,0
5097,JESUSLOVE01,5109,276,5110,478,276,138,138
5099,nyechi,5168,1117,5387,180,180,90,90
5113,Imotex,5368,0,5745,0,0,0,0
5119,Lisawealth1,5124,0,5130,0,0,0,0
5130,Anyapeter1,5160,0,5340,0,0,0,0
5133,Basil4life,5335,0,5455,0,0,0,0
5136,Eve4sure,5137,0,5138,0,0,0,0
5142,SUREMERCIES,5215,0,5465,0,0,0,0
5150,"Simplicity lolo",5280,0,5282,0,0,0,0
5161,Benpeter1,5162,90,5348,133,90,45,45
5180,sarah6060,5202,0,5483,0,0,0,0
5181,NKDIAMOND,5205,0,5224,0,0,0,0
5184,Julinwadei,5263,0,5264,0,0,0,0
5187,"Nky Baby",5216,0,5438,0,0,0,0
5199,Abelesther,5229,0,5310,0,0,0,0
5202,Tesbee,5203,396,5286,1587,396,198,198
5204,Hannibliss,5548,0,5557,0,0,0,0
5208,Glorious22,5289,0,5355,0,0,0,0
5215,EAGLENWA,5242,0,5278,0,0,0,0
5216,Pastorsuccess,5325,0,5327,0,0,0,0
5231,CHIBESTOBI,5234,0,5411,0,0,0,0
5233,EBUNBIZ01,5254,0,5255,0,0,0,0
5246,IntegrityG,5247,0,5434,0,0,0,0
5255,OMOYE,5268,0,5372,0,0,0,0
5257,"BIG DREAMS",5259,0,5605,0,0,0,0
5273,Wenayo,5274,0,5317,0,0,0,0
5285,Pgicommunity,5617,0,5616,0,0,0,0
5291,Efosapeace2,5301,0,5303,0,0,0,0
5292,Donfred,5293,0,5296,0,0,0,0
5294,Divinegrace,5295,0,5297,0,0,0,0
5301,Ekiojo,5302,0,5410,0,0,0,0
5303,Love@123,5304,0,5305,0,0,0,0
5335,Nkbest,5347,0,5409,0,0,0,0
5341,Ifybest1,5378,0,5501,0,0,0,0
5351,Wealthyboss1,5352,0,5404,0,0,0,0
5356,success1,5492,0,5494,0,0,0,0
